group1,group2,meandiff,lower,upper,p_adj,reject,cohens_d,sphericity,gg_epsilon,df_resid_used,split_type,target,n_cycles
CellCLIP,Morphology,-0.1753348618431697,-0.20123354274503555,-0.14943618094130387,0.001,True,-8.59566087533887,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CellCLIP,PhysChem,-0.038877331362065504,-0.06477601226393136,-0.012978650460199654,0.001,True,-1.5537580340073085,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CellCount,LogP,-0.046758835355228845,-0.0726575162570947,-0.020860154453362995,0.001,True,-1.2353962852835851,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CellCount,MLP_CLOOME_arch,-0.05030649257538555,-0.0762051734772514,-0.024407811673519703,0.001,True,-1.2327098646568904,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CellCount,MorganFP,0.022445602436071854,-0.0034530784657939954,0.04834428333793771,0.14034211812609876,False,0.555130339403002,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CellCount,Morphology,-0.21325311123657475,-0.2391517921384406,-0.18735443033470892,0.001,True,-6.042453958120591,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CellCount,PhysChem,-0.07679558075547055,-0.1026942616573364,-0.050896899853604696,0.001,True,-2.012900903233137,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
LogP,MLP_CLOOME_arch,-0.003547657220156708,-0.029446338122022558,0.02235102368170914,0.9,False,-0.10652647338678758,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
LogP,MorganFP,0.0692044377913007,0.043305756889434846,0.09510311869316655,0.001,True,2.1072939197268767,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
LogP,Morphology,-0.1664942758813459,-0.19239295678321175,-0.14059559497948007,0.001,True,-6.341904798935898,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
LogP,PhysChem,-0.030036745400241704,-0.05593542630210756,-0.004138064498375855,0.011491476850891136,True,-1.0016614411209905,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
MLP_CLOOME_arch,MorganFP,0.07275209501145741,0.046853414109591554,0.09865077591332326,0.001,True,2.0090234720858007,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
MLP_CLOOME_arch,Morphology,-0.1629466186611892,-0.18884529956305504,-0.13704793775932336,0.001,True,-5.366112598051026,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
MLP_CLOOME_arch,PhysChem,-0.026489088180084996,-0.05238776908195085,-0.0005904072782191468,0.04118000097943586,True,-0.7872789797165912,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
MorganFP,Morphology,-0.2356987136726466,-0.2615973945745125,-0.20980003277078077,0.001,True,-7.89405311699251,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
MorganFP,PhysChem,-0.0992411831915424,-0.12513986409340824,-0.07334250228967655,0.001,True,-2.990224497241144,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
Morphology,PhysChem,0.1364575304811042,0.11055884957923835,0.16235621138297004,0.001,True,5.113217534483484,False,0.6621176032031535,111.23575733812979,chemical,is_active_not_toxic,25
CLOOME,CellCLIP,-0.05357812447113175,-0.06727841828292462,-0.03987783065933888,0.001,True,-2.5452582286831746,False,0.5650215033885497,94.92361256927636,plate,is_active,25
